權證代號,權證簡稱,履約價格,行使比例,到期日
700139,M31永豐55購01,548.0,0.028,20260504
700140,東洋永豐54購01,117.45,0.1,20260402
700141,中光電凱基55購02,130.0,0.07,20260504
700142,五福凱基56購01,135.0,0.08,20260602
700143,台燿凱基58購04,470.0,0.02,20260803
700144,宏觀凱基56購01,180.0,0.07,20260602
700145,宜鼎凱基54購06,470.0,0.05,20260402
700146,東洋凱基56購01,96.0,0.11,20260602
700147,神盾凱基54購01,155.0,0.065,20260402
700148,晶宏凱基54購01,55.0,0.22,20260402
700149,萬潤凱基55購02,425.0,0.045,20260504
700150,綠界*凱基55購01,65.0,0.2,20260504
700151,雙鴻凱基55購04,900.0,0.02,20260504
700152,M31元大54購03,515.0,0.038,20260402
700153,M31元大56購02,674.0,0.03,20260602
700154,中光電元大57購02,113.5,0.034,20260702
700155,中光電元大5A購02,138.0,0.038,20261002
700156,宜鼎元大54購12,367.5,0.044,20260402
700157,宜鼎元大56購01,387.0,0.041,20260602
700158,威剛元大54購16,221.5,0.072,20260402
700159,威剛元大54購17,209.0,0.068,20260402
700160,威剛元大54購18,195.5,0.058,20260402
700161,威剛元大54購19,169.5,0.043,20260402
700162,威剛元大54購20,153.5,0.036,20260402
700163,威剛元大55購01,228.5,0.081,20260504
700164,威剛元大56購01,232.5,0.064,20260602
700165,原相元大54購02,290.0,0.052,20260402
700166,鈊象元大54購06,989.0,0.034,20260402
700167,鈊象元大54購07,859.0,0.023,20260402
700168,萬潤元大54購03,431.5,0.033,20260402
700169,萬潤元大54購04,405.0,0.032,20260402
700170,廣明元大56購01,148.5,0.049,20260602
700171,廣明元大57購02,160.0,0.052,20260702
700172,雙鴻元大54購18,1080.0,0.028,20260402
700173,雙鴻元大5A購02,1150.0,0.013,20261002
700174,譜瑞元大54購16,827.0,0.021,20260402
700175,M31群益54購01,600.0,0.06,20260402
700176,中光電群益5A購01,118.0,0.03,20261002
700177,台燿群益54購01,335.0,0.05,20260402
700178,伯特光群益55購01,150.0,0.05,20260504
700179,旺矽群益57購04,2570.0,0.006,20260702
700180,東洋群益56購01,105.0,0.1,20260602
700181,家登群益54購01,516.0,0.1,20260402
700182,鈊象群益54購04,830.0,0.04,20260402
700183,龍巖群益55購01,75.0,0.25,20260504
700184,M31統一58購03,490.0,0.006,20260803
700185,中光電統一59購04,135.0,0.026,20260902
700186,中光電統一6A購01,161.11,0.015,20271004
700187,中美晶統一58購02,134.84,0.032,20260803
700188,中美晶統一5A購02,151.11,0.04,20261002
700189,協易機統一5A購01,29.99,0.09,20261002
700190,昇達科統一65購01,666.66,0.004,20270503
700191,朋程統一5A購01,177.77,0.02,20261002
700192,朋程統一6A購01,202.22,0.011,20271004
700193,東洋統一61購01,116.66,0.013,20270104
700194,長聖統一61購01,277.77,0.007,20270104
700195,家登統一5A購01,411.11,0.009,20261002
700196,振曜統一5A購01,188.88,0.018,20261002
700197,晶宏統一5A購01,66.66,0.045,20261002
700198,智冠統一5C購01,145.67,0.013,20261202
700199,華景電統一61購01,309.99,0.009,20270104
700200,萬潤統一58購04,434.13,0.01,20260803
700201,萬潤統一6A購01,488.88,0.004,20271004
700202,鈺太統一5A購01,299.99,0.013,20261002
700203,聰泰統一5A購01,201.68,0.012,20261002
700204,雙鴻統一5A購01,1116.05,0.004,20261002
700205,雙鴻統一61購01,1111.11,0.002,20270104
700206,雙鴻統一61購02,1234.56,0.002,20270104
700207,雙鴻統一6A購01,1222.22,0.002,20271004
700208,騰雲統一6A購01,288.88,0.007,20271004
700209,宜鼎康和54購01,420.0,0.01,20260407
700210,中光電凱基54購09,120.0,0.07,20260407
700211,尼克森凱基54購01,65.0,0.25,20260407
700212,伯特光凱基55購01,155.0,0.06,20260506
700213,金山電凱基54購01,50.0,0.3,20260407
700214,信昌電凱基54購01,65.0,0.25,20260407
700215,宣德凱基54購01,55.0,0.3,20260407
700216,竑騰凱基54購01,600.0,0.02,20260407
700217,竑騰凱基54購02,700.0,0.025,20260407
700218,新鉅科凱基54購01,40.0,0.4,20260407
700219,新鼎凱基54購01,200.0,0.055,20260407
700220,雷科凱基54購01,70.0,0.18,20260407
700221,撼訊凱基54購01,100.0,0.15,20260407
700222,撼訊凱基54購02,115.0,0.2,20260407
700223,雙鴻凱基54購07,1200.0,0.035,20260407
700224,鏵友益凱基54購01,110.0,0.08,20260407
700225,鑫聯凱基54購01,55.0,0.5,20260407
700226,中光電元大54購14,116.5,0.036,20260407
700227,中光電元大57購03,145.5,0.042,20260706
700228,系微元大59購02,270.0,0.009,20260907
700229,宜鼎元大57購01,466.5,0.048,20260706
700230,旺矽元大56購01,2385.0,0.005,20260608
700231,旺矽元大5A購01,2525.0,0.004,20261006
700232,昇達科元大57購03,589.0,0.02,20260706
700233,欣銓元大54購03,82.3,0.119,20260407
700234,信昌電元大54購01,73.36,0.196,20260407
700235,信昌電元大54購02,70.74,0.182,20260407
700236,信昌電元大54購03,66.19,0.156,20260407
700237,信昌電元大54購04,60.89,0.133,20260407
700238,信昌電元大54購05,55.6,0.114,20260407
700239,原相元大54購03,331.5,0.07,20260407
700240,原相元大54購04,265.0,0.043,20260407
700241,鈊象元大54購08,958.0,0.028,20260407
700242,鈊象元大54購09,913.0,0.024,20260407
700243,萬潤元大59購01,455.0,0.026,20260907
700244,聖暉*元大54購10,976.0,0.01,20260407
700245,雍智元大55購02,569.0,0.024,20260506
700246,雙鴻元大54購19,1005.0,0.021,20260407
700247,原相兆豐56購01,279.0,0.026,20260608
700248,撼訊國泰55購01,90.0,0.15,20260507
700249,M31富邦56購01,458.88,0.01,20260608
700250,中光電富邦57購01,160.0,0.06,20260706
700251,弘塑富邦55購02,1513.88,0.003,20260506
700252,良維富邦56購01,132.88,0.049,20260608
700253,旺矽富邦57購01,2198.88,0.004,20260706
700254,鈊象富邦56購02,802.88,0.007,20260608
700255,萬潤富邦56購01,388.88,0.015,20260608
700256,雙鴻富邦56購03,840.88,0.006,20260608
700257,大世科統一6A購01,118.88,0.012,20271006
700258,大綜統一6A購01,271.11,0.008,20271006
700259,光焱統一5A購02,399.99,0.003,20261006
700260,同致統一5A購01,80.88,0.033,20261006
700261,宜鼎統一6A購01,488.88,0.005,20271006
700262,尚凡*統一6A購01,49.28,0.04,20271006
700263,旺矽統一6A購01,2555.55,0.001,20271006
700264,長聖統一6A購01,277.77,0.008,20271006
700265,信昌電統一58購01,60.26,0.065,20260806
700266,信昌電統一58購02,62.88,0.07,20260806
700267,建榮統一6A購01,71.11,0.028,20271006
700268,昱展統一58購06,339.0,0.012,20260806
700269,昱展統一6A購01,355.55,0.004,20271006
700270,創惟統一5A購01,141.11,0.022,20261006
700271,新鉅科統一6A購01,49.9,0.042,20271006
700272,聖暉*統一59購01,901.03,0.004,20260907
700273,優群統一6A購01,261.11,0.007,20271006
700274,鴻呈統一5A購01,201.68,0.013,20261006
700275,雙鴻統一6A購02,1234.56,0.002,20271006
700276,鏵友益統一6A購01,139.99,0.012,20271006
700277,鑫聯統一5A購01,51.68,0.047,20261006
700278,大田國票55購01,100.0,0.2,20260506
700279,良維國票5C購01,190.0,0.06,20261207
700280,信昌電國票54購02,54.0,0.18,20260407
700281,信昌電國票55購01,62.0,0.2,20260507
700282,信昌電國票56購02,70.0,0.22,20260608
700283,信昌電國票57購01,80.0,0.25,20260707
700284,信音國票55購01,36.0,0.6,20260506
700285,宣德國票55購01,60.0,0.2,20260506
700286,昱展國票55購01,380.0,0.03,20260506
700287,竑騰國票55購01,750.0,0.03,20260506
700288,泰金國票55購01,160.0,0.05,20260506
700289,凱崴國票55購01,30.0,0.5,20260506
700290,華電網國票55購01,35.0,0.5,20260506
700291,新鉅科國票55購01,48.0,0.4,20260506
700292,鑫聯國票55購01,64.0,0.5,20260506
700293,光焱元富54購01,438.0,0.03,20260407
700294,同致元富54購01,80.0,0.2,20260407
700295,金山電元富54購02,45.0,0.2,20260407
700296,金山電元富54購03,55.0,0.25,20260407
700297,竑騰元富54購01,600.0,0.013,20260407
700298,宏捷科中信54購01,169.0,0.2,20260407
700299,撼訊中信54購01,115.0,0.13,20260407
700300,雙鴻中信5A購01,1000.0,0.007,20261006
700301,尼克森永豐55購01,66.9,0.2,20260506
700302,光焱永豐57購01,465.0,0.015,20260706
700303,金山電永豐55購01,45.95,0.15,20260506
700304,信昌電永豐55購01,60.26,0.15,20260506
700305,宣德永豐55購01,52.4,0.225,20260506
700306,皇田永豐56購01,88.5,0.125,20260608
700307,竑騰永豐55購01,588.8,0.015,20260506
700308,新鼎永豐55購01,184.86,0.041,20260506
700309,撼訊永豐55購01,99.96,0.123,20260506
700310,中光電群益58購01,130.0,0.06,20260806
700311,立敦群益54購01,50.0,0.35,20260407
700312,同亨群益54購01,37.5,0.25,20260407
700313,同亨群益55購01,48.0,0.35,20260506
700314,合晶群益54購04,36.0,0.3,20260407
700315,東捷群益54購01,53.0,0.3,20260407
700316,信昌電群益54購01,66.0,0.16,20260407
700317,信昌電群益55購01,78.0,0.22,20260506
700318,神盾群益54購02,140.0,0.062,20260407
700319,凱崴群益54購01,23.5,0.26,20260407
700320,凱崴群益54購02,26.0,0.32,20260407
700321,凱崴群益55購01,30.0,0.35,20260506
700322,新鉅科群益54購01,42.0,0.3,20260407
700323,萬潤群益54購02,550.0,0.06,20260407
700324,鈺太群益54購01,250.0,0.035,20260407
700325,德微群益54購01,188.88,0.075,20260407
700326,撼訊群益54購01,100.0,0.15,20260407
700327,聰泰群益54購01,215.0,0.07,20260407
700328,中光電凱基54購10,164.0,0.12,20260407
700329,弘塑凱基56購03,1650.0,0.008,20260608
700330,旺矽凱基5A購01,2565.0,0.007,20261007
700331,昱展凱基55購01,420.0,0.035,20260507
700332,茂達凱基55購01,360.0,0.075,20260507
700333,原相凱基55購01,340.0,0.13,20260507
700334,鈊象凱基54購06,970.0,0.04,20260407
700335,撼訊凱基54購03,90.0,0.17,20260407
700336,信立國票54購01,90.0,0.28,20260407
700337,國眾國票55購01,54.0,0.2,20260507
700338,信驊國泰55購01,6500.0,0.002,20260507
700339,建榮國泰55購02,58.0,0.15,20260507
700340,茂達國泰55購01,257.0,0.035,20260507
700341,原相富邦54購02,290.0,0.03,20260407
700342,大世科統一6A購02,122.22,0.015,20271007
700343,中光電統一6A購02,161.68,0.012,20271007
700344,尼克森統一5A購01,61.68,0.05,20261007
700345,立碁統一6A購01,80.88,0.024,20271007
700346,良維統一6A購01,196.66,0.011,20271007
700347,尚凡*統一5A購01,39.99,0.06,20261007
700348,昱展統一6A購02,421.68,0.004,20271007
700349,茂達統一56購03,264.6,0.015,20260608
700350,茂達統一61購01,299.99,0.01,20270107
700351,竑騰統一5A購01,616.88,0.004,20261007
700352,新鉅科統一5A購01,45.55,0.09,20261007
700353,新鉅科統一6A購02,48.88,0.045,20271007
700354,聖暉*統一6A購01,1200.0,0.002,20271007
700355,撼訊統一6A購01,123.45,0.02,20271007
700356,擎亞統一6A購01,61.11,0.035,20271007
700357,聰泰統一6A購01,255.55,0.008,20271007
700358,寶島科統一64購01,133.33,0.015,20270407
700359,鏵友益統一5A購01,118.88,0.019,20261007
700360,鑫聯統一5A購02,55.55,0.06,20261007
700361,中光電元大57購04,134.0,0.04,20260707
700362,中美晶元大54購05,124.0,0.039,20260407
700363,弘塑元大54購06,1745.0,0.004,20260407
700364,弘塑元大56購04,1810.0,0.004,20260608
700365,良維元大54購09,198.0,0.088,20260407
700366,宜鼎元大57購02,442.0,0.044,20260707
700367,昇達科元大57購04,508.0,0.008,20260707
700368,欣銓元大54購04,90.2,0.176,20260407
700369,茂達元大54購02,241.5,0.037,20260407
700370,原相元大54購05,297.0,0.053,20260407
700371,凱崴元大54購01,29.79,0.237,20260407
700372,鈊象元大54購10,841.0,0.02,20260407
700373,金山電永豐54購01,59.85,0.3,20260407
700374,昱展永豐54購01,424.5,0.03,20260407
700375,茂達永豐54購01,258.0,0.032,20260407
700376,信立群益54購01,81.0,0.15,20260407
700377,威剛群益56購02,250.0,0.07,20260608
700378,茂達群益54購01,285.0,0.036,20260407
700379,茂達群益54購02,315.0,0.045,20260407
700380,茂達群益55購01,356.66,0.05,20260507
700381,昶瑞群益55購01,146.0,0.05,20260507
700382,家登群益55購02,470.0,0.06,20260507
700383,光焱中信57購01,480.0,0.02,20260707
700384,良維中信55購01,197.0,0.08,20260507
700385,中光電元富5A購01,164.25,0.15,20261007
700386,良維元富54購02,150.0,0.05,20260407
700387,良維元富54購03,170.0,0.1,20260407
700388,良維元富54購04,190.0,0.1,20260407
700389,威剛元富54購03,200.0,0.1,20260407
700390,建榮元富54購01,65.0,0.2,20260407
700391,凱崴元富54購01,28.88,0.5,20260407
700392,雍智元富54購01,400.0,0.02,20260407
700393,騰雲元富54購01,266.0,0.04,20260407
700394,良維兆豐56購01,158.0,0.05,20260608
700395,中光電凱基57購02,147.0,0.085,20260708
700396,光焱凱基54購01,450.0,0.045,20260408
700397,系微凱基57購01,300.0,0.03,20260708
700398,良維凱基54購05,200.0,0.17,20260408
700399,宜鼎凱基55購01,420.0,0.055,20260508
700400,原相凱基55購02,365.0,0.15,20260508
700401,訊聯凱基54購01,100.0,0.1,20260408
700402,博智凱基59購01,234.0,0.06,20260908
700403,雷科凱基54購02,80.0,0.27,20260408
700404,譜瑞凱基54購09,1000.0,0.03,20260408
700405,力旺國泰55購01,2100.0,0.004,20260508
700406,高技國泰55購01,350.0,0.025,20260508
700407,力旺富邦56購02,2183.88,0.002,20260608
700408,信立富邦56購01,81.88,0.064,20260608
700409,威剛富邦54購01,205.0,0.055,20260408
700410,中光電統一5C購01,132.99,0.02,20261208
700411,均豪統一56購05,129.0,0.033,20260608
700412,旺矽統一6A購02,2567.89,0.001,20271008
700413,金山電統一5C購01,58.88,0.092,20261208
700414,長聖統一6A購02,261.68,0.007,20271008
700415,建榮統一6A購02,77.77,0.024,20271008
700416,高技統一5A購01,357.08,0.009,20261008
700417,聰泰統一6A購02,258.88,0.01,20271008
700418,力旺元大58購01,2470.0,0.004,20260810
700419,力旺元大59購01,2910.0,0.005,20260908
700420,世界元大54購01,120.5,0.074,20260408
700421,宜鼎元大58購01,342.0,0.026,20260810
700422,金益鼎元大54購01,74.29,0.186,20260408
700423,原相元大54購06,372.5,0.088,20260408
700424,臺慶科元大54購01,164.0,0.05,20260408
700425,撼訊元大54購02,81.3,0.044,20260408
700426,擎亞元大54購01,52.0,0.092,20260408
700427,雙鴻元大54購20,1315.0,0.016,20260408
700428,力旺群益54購01,2000.0,0.01,20260408
700429,弘塑群益56購04,1875.0,0.004,20260608
700430,旺矽群益56購04,1975.0,0.007,20260608
700431,金山電群益54購01,49.0,0.3,20260408
700432,金山電群益54購02,59.1,0.3,20260408
700433,長聖群益54購01,234.0,0.095,20260408
700434,原相群益54購03,335.0,0.1,20260408
700435,高技群益54購01,400.0,0.035,20260408
700436,高技群益56購01,490.0,0.05,20260608
700437,鈊象群益54購05,1000.0,0.05,20260408
700438,力旺元富54購05,2400.0,0.009,20260408
700439,力旺元富57購02,2500.0,0.004,20260708
700440,昇達科元富54購01,600.0,0.045,20260408
700441,建榮元富54購02,70.0,0.25,20260408
700442,力旺國票55購01,3100.0,0.012,20260508
700443,力旺國票55購02,2200.0,0.005,20260508
700444,永捷國票55購01,24.7,0.709,20260508
700445,同亨國票55購01,48.0,0.3,20260508
700446,其陽國票54購01,60.0,0.15,20260408
700447,昱展國票55購02,420.0,0.04,20260508
700448,訊聯國票55購01,120.0,0.1,20260508
700449,高技國票55購01,480.0,0.05,20260508
700450,博大國票55購01,140.0,0.06,20260508
700451,臺慶科國票5A購01,200.0,0.06,20261008
700452,同致中信56購01,85.0,0.1,20260608
700453,力旺永豐55購02,2500.0,0.058,20260508
700454,中光電永豐56購02,174.0,0.58,20260608
700455,神盾永豐55購01,159.16,0.052,20260508
700456,訊聯永豐57購01,110.0,0.06,20260708
700457,高技永豐54購02,357.08,0.036,20260408
700458,高技永豐55購01,465.75,0.08,20260508
700459,擎亞永豐55購01,50.54,0.091,20260508
700460,威剛國泰55購01,210.0,0.1,20260512
700461,雷科國泰55購01,62.0,0.15,20260512
700462,IET元富54購01,180.0,0.078,20260413
700463,雍智元富54購02,500.0,0.014,20260413
700464,良維永豐56購01,191.1,0.123,20260612
700465,威剛永豐54購03,261.0,0.075,20260413
700466,凌陽創永豐54購01,201.75,0.085,20260413
700467,雙鴻永豐57購01,1206.98,0.009,20260713
700468,鑫聯永豐55購01,78.0,0.28,20260512
700469,中光電凱基59購01,137.0,0.07,20260914
700470,金山電凱基54購02,60.0,0.5,20260413
700471,信立凱基56購01,75.0,0.045,20260612
700472,威剛凱基56購01,250.0,0.12,20260612
700473,高技凱基54購01,400.0,0.045,20260413
700474,擎亞凱基54購01,55.0,0.25,20260413
700475,雙鴻凱基55購05,1350.0,0.017,20260512
700476,穩得凱基54購01,180.0,0.085,20260413
700477,鑫聯凱基54購02,78.0,0.45,20260413
700478,中美晶元大54購06,171.0,0.085,20260413
700479,世界元大54購02,133.5,0.102,20260413
700480,良維元大54購10,190.0,0.074,20260413
700481,宜鼎元大58購02,401.0,0.033,20260812
700482,昇達科元大59購02,676.0,0.015,20260914
700483,欣銓元大54購05,106.5,0.255,20260413
700484,原相元大56購01,322.0,0.054,20260612
700485,鈊象元大54購11,1050.0,0.039,20260413
700486,雙鴻元大54購21,1330.0,0.018,20260413
700487,弘塑群益54購05,2090.0,0.015,20260413
700488,原相群益54購04,340.0,0.1,20260413
700489,神盾群益54購03,150.0,0.14,20260413
700490,訊聯群益54購01,105.0,0.08,20260413
700491,聖暉*群益54購03,940.0,0.02,20260413
700492,優群群益54購01,235.0,0.07,20260413
700493,雙鴻群益55購06,1275.0,0.01,20260512
700494,穩懋群益54購01,120.0,0.15,20260413
700495,家登兆豐56購01,408.0,0.02,20260615
700496,聖暉*兆豐56購01,958.0,0.007,20260615
700497,穩得國票54購02,140.0,0.048,20260413
700498,台星科凱基54購01,135.0,0.15,20260413
700499,良維凱基57購04,190.0,0.11,20260713
700500,宜鼎凱基54購07,550.0,0.06,20260413
700501,威剛凱基54購06,210.0,0.09,20260413
700502,泰金凱基55購01,165.0,0.055,20260513
700503,鈊象凱基54購07,1100.0,0.08,20260413
700504,雷科凱基54購03,60.0,0.2,20260413
700505,雙鴻凱基54購08,1120.0,0.012,20260413
700506,鑫聯凱基54購03,85.0,0.3,20260413
700507,金益鼎國泰55購01,83.0,0.15,20260513
700508,雙鴻國泰55購02,1200.0,0.02,20260513
700509,鑫聯國泰55購01,61.0,0.12,20260513
700510,中光電元富54購03,130.0,0.05,20260413
700511,立碁元富54購01,67.0,0.12,20260413
700512,能率元富54購03,80.0,0.3,20260413
700513,訊聯元富54購01,100.0,0.102,20260413
700514,弘塑永豐55購02,1889.55,0.005,20260513
700515,亞信永豐57購01,152.25,0.06,20260713
700516,威剛永豐56購02,210.75,0.09,20260615
700517,竑騰永豐56購01,705.52,0.025,20260615
700518,博智永豐56購01,199.5,0.03,20260615
700519,聖暉*永豐54購02,1050.0,0.01,20260413
700520,雷科永豐55購01,60.42,0.09,20260513
700521,世界元大54購03,107.5,0.048,20260413
700522,宜鼎元大59購02,552.0,0.022,20260914
700523,原相元大56購02,272.0,0.043,20260615
700524,能率元大54購02,70.2,0.208,20260413
700525,順達元大54購10,496.5,0.022,20260413
700526,臺慶科元大54購02,210.5,0.086,20260413
700527,擎亞元大54購02,70.7,0.304,20260413
700528,中光電群益54購09,125.0,0.106,20260413
700529,宜鼎群益54購01,552.5,0.04,20260413
700530,神盾群益56購01,145.0,0.13,20260615
700531,能率群益54購01,66.0,0.45,20260413
700532,雙鴻群益56購02,1355.0,0.01,20260615
700533,世界凱基54購01,110.0,0.08,20260414
700534,良維凱基58購01,155.0,0.08,20260814
700535,宜鼎凱基54購08,605.0,0.05,20260414
700536,長聖凱基54購01,235.0,0.11,20260414
700537,威剛凱基54購07,269.0,0.15,20260414
700538,原相凱基56購01,270.0,0.06,20260615
700539,華星光凱基54購02,306.0,0.15,20260414
700540,臺慶科凱基54購01,170.0,0.09,20260414
700541,鴻呈凱基54購02,150.0,0.08,20260414
700542,雙鴻凱基59購03,1020.0,0.013,20260914
700543,華星光元富54購01,240.0,0.04,20260414
700544,宜鼎永豐55購02,486.0,0.018,20260514
700545,華星光永豐57購01,218.81,0.03,20260714
700546,聖暉*永豐57購01,1200.0,0.01,20260714
700547,穩得永豐56購01,160.0,0.029,20260615
700548,弘塑國泰55購01,1850.0,0.004,20260514
700549,博智國泰55購01,205.0,0.044,20260514
700550,華星光國泰55購01,235.0,0.06,20260514
700551,鑫聯國泰55購02,69.0,0.14,20260514
700552,台燿富邦57購01,480.0,0.02,20260714
700553,弘塑富邦56購01,1773.88,0.003,20260615
700554,弘塑富邦56購02,1648.88,0.003,20260615
